MSOA,average_household_size
E02000001,1.702889702889703
E02000002,2.864808362369338
E02000003,2.9078880407124683
E02000004,2.794372294372294
E02000005,3.0432864626413014
E02000007,2.7293989665488168
E02000008,2.8574826989619377
E02000009,2.996238834038552
E02000010,2.84765625
E02000011,2.9345516362090946
E02000012,3.445424141076315
E02000013,2.8779963122311
E02000014,2.8907910271546635
E02000015,2.7089650626235993
E02000016,2.7643663080556284
E02000017,3.2608381502890174
E02000018,2.943104514533086
E02000019,2.993148551853005
E02000020,2.9976460517868606
E02000021,2.951877133105802
E02000022,2.7590275294958886
E02000023,2.9729628238828387
E02000024,2.3978110341746706
E02000025,2.2893753336892684
E02000026,2.5555555555555554
E02000027,2.5880597014925373
E02000028,2.4196063869290754
E02000029,2.5572045331894224
E02000030,2.6587098607558968
E02000031,2.4554187931552085
E02000032,2.885932944606414
E02000033,2.530337721808815
E02000034,2.519230769230769
E02000035,2.325205557130706
E02000036,2.8212474645030428
E02000037,2.902314316469322
E02000038,2.6075886170743883
E02000039,2.6791323859386686
E02000040,2.5182440136830104
E02000041,2.821353383458647
E02000042,2.397327110733984
E02000043,2.802626641651032
E02000044,2.875529488432714
E02000045,2.4944087556507255
E02000046,2.41820076415422
E02000047,2.913735741444867
E02000048,2.601772151898734
E02000049,2.748421052631579
E02000050,2.5642042637580564
E02000051,2.4004745583970473
E02000052,2.3509064885496183
E02000054,2.5520026926960617
E02000055,2.5716822015090988
E02000056,2.626670540383498
E02000057,2.934589800443459
E02000058,2.48670407416443
E02000059,2.614205186020293
E02000060,3.047116165718928
E02000061,2.2963895885810244
E02000062,2.648814078041316
E02000063,2.644546417225556
E02000064,2.386314265025344
E02000065,2.8854466858789625
E02000066,2.6442063715816184
E02000067,2.5659050966608086
E02000068,2.553224796493425
E02000069,2.552275960170697
E02000070,2.5821656050955415
E02000071,2.7018348623853212
E02000072,2.751599147121535
E02000073,2.708364922921405
E02000074,2.52309007981756
E02000075,2.535873015873016
E02000077,2.746934604904632
E02000078,2.6064922159655515
E02000079,2.3935340022296545
E02000080,2.6367924528301887
E02000081,2.5125076266015864
E02000082,2.7098460644786524
E02000083,2.5338430402518552
E02000084,2.6470728224654927
E02000085,2.586644951140065
E02000086,2.572094691535151
E02000087,2.4697380307136405
E02000088,2.601945003353454
E02000089,2.6643717728055076
E02000090,2.204339532665713
E02000091,2.2674758372668014
E02000092,2.469786293294031
E02000093,3.14457509353287
E02000094,2.980392156862745
E02000095,3.257537688442211
E02000096,3.0172137710168134
