MSOA,number_measured,number_obese,obesity_rate
E02000001,56.0,13.0,23.214285714285715
E02000002,254.0,61.0,24.015748031496063
E02000003,313.0,75.0,23.961661341853034
E02000004,138.0,29.0,21.014492753623188
E02000005,363.0,88.0,24.242424242424242
E02000007,370.0,95.0,25.675675675675674
E02000008,421.0,115.0,27.315914489311165
E02000009,348.0,104.0,29.88505747126437
E02000010,355.0,89.0,25.070422535211268
E02000011,235.0,59.0,25.106382978723403
E02000012,374.0,95.0,25.40106951871658
E02000013,354.0,83.0,23.44632768361582
E02000014,347.0,86.0,24.78386167146974
E02000015,287.0,77.0,26.82926829268293
E02000016,296.0,71.0,23.986486486486484
E02000017,283.0,70.0,24.73498233215548
E02000018,369.0,98.0,26.558265582655828
E02000019,339.0,92.0,27.13864306784661
E02000020,407.0,108.0,26.535626535626534
E02000021,295.0,98.0,33.220338983050844
E02000022,378.0,112.0,29.629629629629626
E02000023,282.0,77.0,27.30496453900709
E02006799,425.0,105.0,24.705882352941178
E02000024,280.0,35.0,12.5
E02000025,171.0,42.0,24.561403508771928
E02000026,173.0,32.0,18.497109826589593
E02000027,285.0,54.0,18.947368421052634
E02000028,149.0,24.0,16.10738255033557
E02000029,230.0,53.0,23.043478260869566
E02000030,184.0,40.0,21.73913043478261
E02000031,161.0,32.0,19.875776397515526
E02000032,301.0,41.0,13.621262458471762
E02000033,263.0,52.0,19.771863117870723
E02000034,224.0,42.0,18.75
E02000035,158.0,30.0,18.9873417721519
E02000036,315.0,74.0,23.49206349206349
E02000037,323.0,47.0,14.551083591331269
E02000038,236.0,43.0,18.220338983050848
E02000039,142.0,26.0,18.30985915492958
E02000040,207.0,35.0,16.908212560386474
E02000041,246.0,50.0,20.32520325203252
E02000042,236.0,43.0,18.220338983050848
E02000043,190.0,23.0,12.105263157894736
E02000044,246.0,52.0,21.138211382113823
E02000045,330.0,70.0,21.21212121212121
E02000046,142.0,19.0,13.380281690140844
E02000047,394.0,99.0,25.12690355329949
E02000048,251.0,36.0,14.342629482071715
E02000049,345.0,98.0,28.405797101449277
E02000050,300.0,60.0,20.0
E02000051,183.0,24.0,13.114754098360656
E02000052,203.0,34.0,16.748768472906402
E02000053,198.0,47.0,23.737373737373737
E02000054,175.0,40.0,22.857142857142858
